qid, Subject,Year, section, Question,Option A,Option B,Option C,Option D,Correct,Explanation,Image, passage
1,civics,2016,Civics,"__**I. ትኽክለኛ መልሲ ዝሓዘ ፊደል መሪፅካ/ኪ ኣብ መልሲ መውሃቢ ኣፀልም/ሚ፡፡**__

ብላዕለዋይነት ሕጊ ዘፅድቕን ኣፍልጦ ዝህብን ኣካል መንግስቲ ዝኾነ ኣየናይ እዩ?",ሕጊ ፈፃሚ,ሕጊ መዉፅኢ,ሕጊ ተርጓሚ,ቀዳማይ ሚኒስተር,B,,
2,civics,2016,Civics,ኣብ ዲሞክራሲያዊት ሃገር ዝለዓለ ስልጣን ዝዉንን ኣካል መንግስቲ መን እዩ?,ህዝቢ,ቀዲማይ ሚኒሰቴር,ፕሬዚዳንት,ደያኑ,A,,
3,civics,2016,Civics,ንኹሎም ሕግታት ፍልፍል ወይ ኣቦ ኩሎም ሕጊታት ዝኾነ ኣየናይ እዩ?,ኣዋጅ,ሕገ-መንግስቲ,ደንቢ,ልማዳዊ ሕጊ,B,,
4,civics,2016,Civics,ባህሊ ምዕቛር ብትኽክል ክገልፆ ዝኽእል መማረፂ ኣየናይ እዩ?,ምኽንያታዊ ንዘይኮነ ነገር ወፃኢ ምግባር,ናይ ፅባሕ ብዘየግድስ ንወፃእታት ሎሚ ዝያዳ ምሕሳብ,ኣድላይ ንዝኾነ ወፃኢታት እንዳተጠቀምካ ዝተረፈ ምቕማጥ,ንወፃኢታት ክብረ በዓል ዝዉዕል ገንዘብ ጥራሕ ምዕቛር,C,,
5,civics,2016,Civics,መሰል ዜጋታት ንምኽባር ዝንቀሳቐስ ዲሞክራሲያዊ መንግስታዊ ትካል ዝኾነ ኣየናይ እዩ?,ፖሊስ,ሲቪክ ማሕበራት,ማሕበር ቀይሕ መሰቀል,ብዉልቀ ዝዉነኑ መራኸብቲ ሓፋሽ,A,,
6,civics,2016,Civics,ስራሕ ምንዓቕን እንተይሰራሕኻ ምንባርን ኣብ ሃገርን ዉልቀ ሰባትን ዘምፀኦ ሰዓቤን ኣየናይ እዩ?,ዓርሰ ምርኮሳ,ስነ-ቁጠባዊ ቅልዉላዉ,ስነ-ልቦናዊ ዕግበት,ምጣነ-ሃፍታዊ ዕቤት,B,,
7,civics,2016,Civics,ኣብ ከይዲ ስርሑ ካብ ዝኾነ ይኹን ደጋዊ ፅዕንቶ ነፃ ክኸዉን ዝግበኦ ትካል ኣየናይ እዩ?,ቤት ምኽሪ ተወከልቲ ህዝቢ,ቤት ምኽሪ ፌደረሽን,ኣብያተ ፍርዲ,ፖለቲካዊ ዉድባት,C,,
8,civics,2016,Civics,"""ሰብ ከም ገዝኡ እምበር ከም ጎረቤቱ ኣይነብርን"" ዝብል ኣበሃህላ እንታይ የመላኽት?",ተፀባይነት,ህርኩትነት,ሓቢርካ ናይ ምንባር ብቕዓት,ብዓቕምኻ ምንባር,D,,
9,civics,2016,Civics,ደቂ ኣነስትዮ ልክዕ ከም ደቂ ተባዕትዩ ንብረት ናይ ምዉናን፣ ሓሳበን ብነፃ ናይ ምግላፅን ዉሳነታት ናይ ምዉሳን መሰለን ዝገልፃሉ መማረፂ ኣየናይ እዩ?,ማዕርነት ቋንቋ,ማዕርነት ፆታ,ማዕርነት ፖለቲካ,ስምዒት ሓላፍነት,B,,
10,civics,2016,Civics,ክጠሓሱ ዘይኽእሉ ኮይኖም ንኹሉ ሰብ ብተፈጥሮ ዝወሃቡ መሰላት ዝገልፅ ኣየናይ እዩ?,ሲቪል መሰላት,ዲሞክራሲያዊ መሰላት,ፖለቲካዊ መሰላት,ሰብኣዊ መሰላት,D,,
11,civics,2016,Civics,ማሕበራዊ ግልጋሎት ንምግፋሕ ግደ ብዙሓት ወገናት ዝጠልብ እኳ እንተኾነ ኣብ ቅድሚት ተሰሪዑ እንረኽቦ ኣካል ግን ኣየናይ እዩ?,መንግሰቲ,ሰብ ሃፍቲ,ትካላት ሃይማኖት,ሲቪክ ማሕበራት,A,,
12,civics,2016,Civics,ብፂሒት ሓላፍነት ብብቕዓት ዘይምፍፃም ዘስዕቦ ፀገም ዘብራህርህ ኣየናይ እዩ?,ሰናይ ምሕደራ ይስፋሕፋሕ,ድኽነትን ድሕረትን ይዉስኽ,ልዑል ስነልቦናዊ ዕግበት ይህሉ,ርኡይ ስነ-ቁጠባዊ ለዉጢ ይመፅእ,B,,
13,civics,2016,Civics,ካብ እዞም ዝስዕቡ መማረፂታት ዓርሰ-እምነት ንምዕባይ ኣዝዩ ጠቓሚ ዝኾነ ኣየናይ እዩ?,ሓፋር ምዃን,ተፀባያይ ምዃን,ክብርኻ ኣትሒትካ ምርኣይ,ድኽመትካን ጥንካረኻን ፈሊኻ ምፍላጥ,D,,
14,civics,2016,Civics,ብዜጋታት ዓርሰ-ተበግሶን ድሌትን ዝተጣየሸ ትካል ገባሪሰናይ ኣየናይ እዩ?,ሲቪክ ማሕበራት,ኣክስዮን ማሕበራት,ማሕበር መናእሰይን ሰፖርትን,ማሕበር ጉዳይ ደቂ ኣነስትዮ,A,,
